"","V1","V2","V3","V4","V5","V6"
"400&MLE_{full}","0","0","0.05(0.02)","0","0","0.085(0.03)"
"&GLASSO","7.06","1.56","0.043(0.019)","6.14","3.18","0.07(0.028)"
"&GSCAD","7.67","1.95","0.043(0.018)","6.42","3.57","0.071(0.032)"
"&GMCP","8.37","2.42","0.043(0.019)","7.1","3.88","0.069(0.032)"
"&AGLASSO","8.35","2.05","0.041(0.018)","7.07","4.14","0.069(0.029)"
"&",NA,NA,NA,NA,NA,NA
"800&MLE_{full}","0","0","0.022(0.01)","0","0","0.059(0.016)"
"&GLASSO","5","0.25","0.02(0.011)","2.24","1.44","0.057(0.016)"
"&GSCAD","6.57","0.33","0.019(0.011)","3.25","2.32","0.058(0.016)"
"&GMCP","7.09","0.41","0.018(0.012)","3.07","2.34","0.059(0.017)"
"&AGLASSO","7.52","0.42","0.018(0.012)","3.05","2.4","0.061(0.016)"
"&",NA,NA,NA,NA,NA,NA
"1200&MLE_{full}","0","0","0.015(0.005)","0","0","0.05(0.015)"
"&GLASSO","4.88","0.04","0.013(0.006)","0.8","0.63","0.05(0.014)"
"&GSCAD","6.69","0.08","0.012(0.007)","1.43","1.43","0.052(0.014)"
"&GMCP","7.49","0.18","0.011(0.007)","1.52","1.58","0.052(0.014)"
"&AGLASSO","7.48","0.14","0.012(0.007)","1.01","1.41","0.051(0.013)"
