"","x.mV11","x.mV12","x.mV31","x.mV32","x.mV6","x.mV11","x.mV12","x.mV31","x.mV32","x.mV6"
"r0.400.full",-3,11,-3,-16,5,-209,-206,260,249,-144
"",-294,-295,350,350,-151,-294,-296,350,350,-191
"",-294,-295,350,350,-151,-294,-296,350,350,-191
"",-300,-300,350,350,-150,-300,-300,350,350,-191
"",-290,-289,350,350,-151,-294,-296,350,350,-194
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.800.full",-6,8,3,15,-7,-203,-201,256,268,-148
"",-253,-248,335,337,-111,-297,-296,350,350,-197
"",-253,-248,340,340,-111,-297,-296,350,350,-197
"",-258,-251,350,350,-111,-297,-296,350,350,-199
"",-257,-252,345,345,-116,-297,-296,350,350,-199
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.1200.full",-5,-5,18,13,-4,-204,-211,268,272,-144
"",-197,-203,325,326,-61,-300,-300,350,350,-193
"",-187,-193,325,326,-60,-300,-300,350,350,-193
"",-216,-220,326,327,-63,-300,-300,350,350,-193
"",-210,-216,331,332,-70,-300,-300,350,350,-193
