"","x.m[, posi]V11","","x.m[, posi]V12","","x.m[, posi]V31","","x.m[, posi]V32","","x.m[, posi]V6",""
"r0.400","126","133(4)","144","137(5)","172","167(8)","198","172(8)","69","67(3)"
"","154","144(5)","168","148(6)","199","180(10)","222","187(9)","85","82(4)"
"","154","144(5)","168","148(6)","208","180(10)","222","187(9)","87","82(4)"
"","170","145(5)","183","148(6)","239","182(11)","255","189(11)","86","82(4)"
"","149","144(5)","168","148(6)","211","181(10)","230","187(9)","88","82(4)"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.800","84","93(2)","101","96(2)","106","117(4)","116","121(4)","43","46(1)"
"","95","98(2)","104","100(3)","110","122(5)","123","127(5)","58","54(3)"
"","96","96(2)","106","98(3)","115","119(13)","123","124(13)","56","52(4)"
"","96","95(2)","107","98(3)","118","118(18)","126","122(18)","56","51(4)"
"","96","96(2)","105","98(3)","117","118(18)","128","122(18)","56","51(3)"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.1200","80","76(1)","74","77(1)","98","95(3)","98","98(3)","39","38(1)"
"","87","79(2)","76","80(2)","96","99(3)","106","102(3)","50","44(2)"
"","85","78(2)","79","79(2)","99","97(3)","104","101(3)","50","42(3)"
"","85","78(2)","79","79(2)","99","97(3)","103","100(3)","49","41(3)"
"","84","78(2)","79","79(2)","98","97(3)","103","101(3)","49","42(3)"
