"","x.m[, posi]V11","x.m[, posi]V12","x.m[, posi]V31","x.m[, posi]V32","x.m[, posi]V6","x.m[, posi]V11","x.m[, posi]V12","x.m[, posi]V31","x.m[, posi]V32","x.m[, posi]V6"
"tmp2.400","95%","96%","93%","91%","93%","86%","85%","79%","86%","64%"
"","88%","87%","86%","87%","90%","54%","61%","50%","55%","23%"
"","83%","89%","80%","83%","86%","37%","46%","43%","46%","21%"
"","76%","78%","62%","62%","85%","33%","39%","28%","29%","21%"
"","87%","88%","80%","80%","88%","34%","40%","36%","40%","23%"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tmp2.800","96%","92%","100%","97%","98%","79%","76%","69%","69%","23%"
"","87%","89%","85%","83%","83%","30%","28%","25%","28%","11%"
"","90%","85%","85%","84%","93%","24%","21%","13%","15%","14%"
"","89%","85%","86%","84%","94%","28%","23%","16%","19%","12%"
"","92%","90%","88%","86%","85%","29%","22%","20%","22%","11%"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tmp2.1200","98%","95%","92%","95%","91%","64%","63%","48%","56%","14%"
"","82%","86%","81%","83%","85%","22%","17%","10%","9%","5%"
"","90%","90%","82%","88%","91%","19%","13%","7%","5%","13%"
"","91%","90%","83%","87%","88%","19%","14%","5%","5%","13%"
"","88%","90%","86%","87%","86%","22%","17%","8%","8%","5%"
